temperature,pH,salinity,turbidity,water_type,species
28.27,8.09,2.16,19.83,Freshwater,Tilapia
29.2,7.87,18.82,30.18,High Salinity,Tiger Shrimp
30.24,8.03,13.98,30.82,Brackish,Milkfish
28.99,7.01,33.71,39.92,High Salinity,Milkfish
26.31,7.29,27.27,24.62,High Salinity,Milkfish
29.78,7.57,17.23,37.02,High Salinity,Milkfish
30.69,8.38,13.78,38.32,Brackish,Whiteleg Shrimp
28.05,7.11,31.17,22.36,High Salinity,Milkfish
28.88,7.51,16.53,42.55,High Salinity,Tiger Shrimp
28.3,7.39,25.17,43.06,High Salinity,Tiger Shrimp
29.63,7.32,0.0,15.36,Freshwater,Catfish
25.44,7.14,3.12,20.82,Freshwater,Catfish
29.74,7.89,20.05,54.02,High Salinity,Tiger Shrimp
25.42,7.44,6.44,22.3,Brackish,Catfish
30.32,7.13,2.04,27.16,Freshwater,Tilapia
29.29,8.02,31.66,40.92,High Salinity,Tiger Shrimp
29.21,7.81,1.55,32.06,Freshwater,Catfish
30.54,8.25,15.33,43.13,High Salinity,Whiteleg Shrimp
30.13,7.96,17.49,25.94,High Salinity,Whiteleg Shrimp
30.28,7.78,23.44,28.78,High Salinity,Milkfish
29.52,8.24,15.76,34.71,High Salinity,Whiteleg Shrimp
31.06,8.06,19.09,21.28,High Salinity,Whiteleg Shrimp
27.04,7.18,26.28,22.29,High Salinity,Milkfish
28.65,7.83,23.7,43.47,High Salinity,Whiteleg Shrimp
28.4,7.51,23.82,23.36,High Salinity,Whiteleg Shrimp
28.54,8.63,29.23,54.76,High Salinity,Tiger Shrimp
30.43,7.9,17.33,39.45,High Salinity,Tiger Shrimp
27.94,6.77,0.0,18.15,Freshwater,Catfish
29.68,8.61,24.22,48.46,High Salinity,Tiger Shrimp
30.47,7.98,24.86,29.55,High Salinity,Whiteleg Shrimp
29.27,7.64,20.77,35.64,High Salinity,Whiteleg Shrimp
25.79,6.6,3.65,9.25,Freshwater,Tilapia
27.46,6.35,3.2,32.3,Freshwater,Catfish
29.16,8.05,15.48,36.7,High Salinity,Tiger Shrimp
28.18,7.52,3.39,24.08,Freshwater,Tilapia
30.5,8.21,26.1,29.76,High Salinity,Whiteleg Shrimp
31.64,7.61,18.89,37.83,High Salinity,Whiteleg Shrimp
27.19,7.36,2.17,9.96,Freshwater,Tilapia
31.07,8.27,24.86,37.4,High Salinity,Whiteleg Shrimp
27.47,7.81,15.82,53.74,High Salinity,Tiger Shrimp
29.85,8.17,4.71,22.56,Freshwater,Catfish
30.32,6.87,0.98,27.61,Freshwater,Catfish
32.03,7.88,27.2,28.79,High Salinity,Milkfish
26.38,6.5,1.58,15.25,Freshwater,Tilapia
28.74,8.08,21.48,23.1,High Salinity,Whiteleg Shrimp
26.39,7.38,3.38,20.09,Freshwater,Tilapia
27.68,7.79,25.3,45.51,High Salinity,Milkfish
29.11,7.84,18.33,20.03,High Salinity,Whiteleg Shrimp
31.27,8.29,23.3,17.26,High Salinity,Whiteleg Shrimp
27.45,7.84,1.05,26.89,Freshwater,Tilapia
26.62,6.81,5.34,7.35,Brackish,Tilapia
27.48,8.43,20.09,21.67,High Salinity,Milkfish
28.81,8.06,26.59,30.32,High Salinity,Tiger Shrimp
29.16,6.81,0.63,24.18,Freshwater,Tilapia
32.04,7.16,0.1,34.03,Freshwater,Catfish
30.41,7.4,14.37,30.49,Brackish,Milkfish
29.99,7.73,17.91,40.21,High Salinity,Tiger Shrimp
27.72,8.62,26.08,31.78,High Salinity,Tiger Shrimp
29.57,7.99,19.49,30.04,High Salinity,Whiteleg Shrimp
26.24,6.65,4.12,27.56,Freshwater,Tilapia
29.16,7.22,16.4,30.32,High Salinity,Tiger Shrimp
27.56,7.95,23.41,24.8,High Salinity,Whiteleg Shrimp
26.08,8.03,1.61,25.9,Freshwater,Tilapia
25.23,8.02,5.64,18.25,Brackish,Tilapia
29.28,7.64,16.84,30.94,High Salinity,Tiger Shrimp
30.79,7.59,22.39,38.75,High Salinity,Tiger Shrimp
32.92,8.18,15.19,51.6,High Salinity,Whiteleg Shrimp
28.46,6.39,2.06,12.79,Freshwater,Tilapia
29.57,8.29,29.61,34.18,High Salinity,Milkfish
30.1,7.29,17.6,21.04,High Salinity,Whiteleg Shrimp
27.03,7.74,23.06,24.34,High Salinity,Milkfish
27.76,7.51,3.33,33.36,Freshwater,Catfish
27.74,7.68,18.49,49.02,High Salinity,Tiger Shrimp
27.15,8.35,28.5,32.44,High Salinity,Tiger Shrimp
29.75,8.12,19.99,34.66,High Salinity,Whiteleg Shrimp
28.06,6.7,4.14,10.04,Freshwater,Tilapia
24.64,7.34,3.49,20.94,Freshwater,Catfish
30.7,8.32,21.58,27.61,High Salinity,Whiteleg Shrimp
26.53,7.79,0.0,16.89,Freshwater,Tilapia
25.89,7.78,0.0,16.77,Freshwater,Tilapia
28.16,8.47,16.12,29.05,High Salinity,Milkfish
26.46,6.91,4.44,25.79,Freshwater,Catfish
32.23,7.87,16.77,30.67,High Salinity,Whiteleg Shrimp
30.01,7.7,2.25,21.53,Freshwater,Catfish
32.53,7.6,25.99,33.22,High Salinity,Milkfish
32.32,6.69,0.82,36.42,Freshwater,Catfish
28.97,8.09,5.97,30.15,Brackish,Catfish
28.0,8.18,15.12,43.34,High Salinity,Whiteleg Shrimp
27.96,7.48,4.41,27.57,Freshwater,Catfish
28.42,7.38,25.59,44.59,High Salinity,Milkfish
30.49,7.01,4.85,21.0,Freshwater,Catfish
28.8,8.26,26.07,23.84,High Salinity,Tiger Shrimp
28.46,8.19,14.06,33.95,Brackish,Milkfish
25.19,8.07,2.08,32.48,Freshwater,Catfish
29.05,8.18,1.11,17.53,Freshwater,Catfish
25.43,6.8,0.0,21.01,Freshwater,Tilapia
31.32,8.39,18.73,40.58,High Salinity,Whiteleg Shrimp
29.74,7.82,21.4,41.39,High Salinity,Whiteleg Shrimp
29.79,7.63,13.9,47.71,Brackish,Tiger Shrimp
27.14,7.34,28.89,42.97,High Salinity,Tiger Shrimp
32.75,6.57,3.38,25.18,Freshwater,Catfish
27.51,8.33,17.16,48.8,High Salinity,Tiger Shrimp
27.8,7.79,15.93,22.35,High Salinity,Whiteleg Shrimp
27.41,8.03,29.59,42.35,High Salinity,Milkfish
30.02,6.64,4.33,29.43,Freshwater,Catfish
30.4,7.2,4.46,34.35,Freshwater,Catfish
24.25,6.81,3.98,34.03,Freshwater,Catfish
29.61,7.5,28.89,34.86,High Salinity,Milkfish
28.83,8.2,15.79,31.65,High Salinity,Tiger Shrimp
30.29,7.87,34.29,33.5,High Salinity,Milkfish
29.36,6.45,6.36,37.08,Brackish,Catfish
27.39,6.45,4.84,11.18,Freshwater,Tilapia
29.88,7.98,26.33,35.45,High Salinity,Tiger Shrimp
26.52,7.97,3.21,25.17,Freshwater,Tilapia
28.24,7.52,28.12,40.11,High Salinity,Tiger Shrimp
27.84,7.35,9.93,24.72,Brackish,Milkfish
27.24,7.57,2.3,26.24,Freshwater,Tilapia
25.55,7.94,12.2,31.28,Brackish,Milkfish
31.17,8.33,28.13,43.01,High Salinity,Tiger Shrimp
27.43,7.49,18.57,21.19,High Salinity,Milkfish
31.1,7.67,21.77,22.3,High Salinity,Milkfish
28.54,7.56,2.84,10.76,Freshwater,Tilapia
28.93,6.8,2.82,42.6,Freshwater,Catfish
30.18,7.18,13.84,45.08,Brackish,Milkfish
30.14,8.42,17.76,47.08,High Salinity,Tiger Shrimp
30.56,6.92,4.97,11.42,Freshwater,Catfish
29.95,8.04,24.47,43.82,High Salinity,Whiteleg Shrimp
24.32,7.32,1.85,14.87,Freshwater,Tilapia
29.85,7.49,23.05,42.6,High Salinity,Milkfish
26.64,8.12,19.79,51.99,High Salinity,Tiger Shrimp
28.95,7.34,22.11,17.65,High Salinity,Milkfish
29.43,7.47,18.04,46.5,High Salinity,Whiteleg Shrimp
30.97,7.57,18.85,36.64,High Salinity,Tiger Shrimp
27.99,8.07,24.37,34.07,High Salinity,Tiger Shrimp
28.33,8.09,6.53,18.99,Brackish,Catfish
31.12,7.69,14.43,28.68,Brackish,Whiteleg Shrimp
26.75,7.2,9.87,30.98,Brackish,Catfish
31.38,8.5,33.54,35.11,High Salinity,Milkfish
28.95,7.99,21.56,52.61,High Salinity,Tiger Shrimp
26.97,7.57,0.54,19.96,Freshwater,Catfish
27.67,7.71,21.66,28.71,High Salinity,Milkfish
31.03,8.72,16.36,17.42,High Salinity,Whiteleg Shrimp
29.64,7.88,22.61,38.93,High Salinity,Whiteleg Shrimp
28.35,7.55,4.88,23.47,Freshwater,Catfish
27.14,7.52,29.04,39.74,High Salinity,Milkfish
28.42,7.7,17.35,23.44,High Salinity,Whiteleg Shrimp
29.75,8.28,27.37,44.27,High Salinity,Tiger Shrimp
29.67,6.77,2.56,41.68,Freshwater,Catfish
25.42,7.1,2.23,21.51,Freshwater,Tilapia
30.0,7.74,29.51,51.01,High Salinity,Tiger Shrimp
28.36,8.66,25.24,53.35,High Salinity,Tiger Shrimp
30.39,8.43,2.35,18.86,Freshwater,Tilapia
29.31,6.97,28.31,23.16,High Salinity,Milkfish
28.55,7.86,20.51,46.56,High Salinity,Milkfish
26.44,7.45,4.95,12.42,Freshwater,Tilapia
28.46,7.64,5.31,38.57,Brackish,Catfish
30.08,7.18,21.62,40.42,High Salinity,Milkfish
25.14,7.93,0.0,26.35,Freshwater,Catfish
30.74,6.79,0.02,22.51,Freshwater,Catfish
31.34,7.66,18.99,41.26,High Salinity,Milkfish
27.12,6.96,5.46,31.14,Brackish,Catfish
30.28,7.32,28.19,37.38,High Salinity,Milkfish
31.0,7.56,26.0,39.01,High Salinity,Whiteleg Shrimp
29.96,8.39,22.62,51.58,High Salinity,Whiteleg Shrimp
27.79,8.23,23.69,38.41,High Salinity,Milkfish
26.94,7.61,4.22,30.32,Freshwater,Catfish
29.21,8.33,12.66,46.92,Brackish,Milkfish
25.51,6.43,2.67,43.9,Freshwater,Catfish
25.13,7.99,0.71,29.41,Freshwater,Catfish
30.13,7.96,23.09,29.19,High Salinity,Whiteleg Shrimp
29.04,7.86,19.54,41.0,High Salinity,Whiteleg Shrimp
27.09,8.16,2.76,22.77,Freshwater,Tilapia
25.5,7.41,4.98,28.6,Freshwater,Tilapia
28.06,8.02,25.19,41.43,High Salinity,Milkfish
26.71,8.01,28.99,25.49,High Salinity,Milkfish
28.33,7.98,30.11,27.92,High Salinity,Tiger Shrimp
27.8,6.88,34.06,18.62,High Salinity,Milkfish
28.81,7.71,30.6,46.64,High Salinity,Tiger Shrimp
30.16,8.53,16.73,43.88,High Salinity,Whiteleg Shrimp
30.84,7.82,26.12,42.19,High Salinity,Milkfish
26.83,8.24,30.91,22.65,High Salinity,Milkfish
27.41,7.61,25.26,32.87,High Salinity,Tiger Shrimp
27.42,7.83,2.92,19.53,Freshwater,Catfish
27.84,7.74,32.23,32.04,High Salinity,Milkfish
28.89,7.35,0.67,35.62,Freshwater,Catfish
30.9,8.11,18.73,45.34,High Salinity,Whiteleg Shrimp
27.74,7.87,1.78,23.94,Freshwater,Tilapia
27.73,7.79,23.22,46.59,High Salinity,Tiger Shrimp
23.98,7.11,4.52,27.1,Freshwater,Tilapia
31.22,7.88,21.88,26.42,High Salinity,Whiteleg Shrimp
29.02,8.3,17.66,36.87,High Salinity,Whiteleg Shrimp
26.59,7.42,28.16,40.58,High Salinity,Tiger Shrimp
28.88,8.37,30.34,35.04,High Salinity,Tiger Shrimp
24.85,6.99,0.33,29.3,Freshwater,Tilapia
31.33,8.27,24.0,28.53,High Salinity,Whiteleg Shrimp
30.77,6.9,33.1,29.57,High Salinity,Milkfish
30.36,7.68,17.36,53.58,High Salinity,Whiteleg Shrimp
30.14,7.8,26.28,35.7,High Salinity,Tiger Shrimp
27.11,7.37,1.9,37.21,Freshwater,Catfish
29.5,8.39,18.63,32.78,High Salinity,Whiteleg Shrimp
29.39,7.74,2.51,24.98,Freshwater,Tilapia
27.98,8.16,2.37,23.66,Freshwater,Tilapia
27.49,8.61,18.73,52.76,High Salinity,Tiger Shrimp
28.26,7.04,0.19,28.92,Freshwater,Catfish
29.83,8.57,4.94,9.59,Freshwater,Tilapia
29.5,8.08,19.55,32.23,High Salinity,Tiger Shrimp
25.0,6.37,3.86,7.27,Freshwater,Tilapia
26.16,6.94,3.27,15.77,Freshwater,Catfish
27.69,8.41,15.55,42.14,High Salinity,Tiger Shrimp
29.38,7.9,14.94,24.94,Brackish,Whiteleg Shrimp
28.0,7.33,13.81,41.64,Brackish,Milkfish
29.14,7.83,20.6,35.41,High Salinity,Whiteleg Shrimp
30.42,7.55,14.4,23.29,Brackish,Whiteleg Shrimp
29.43,8.05,5.65,26.4,Brackish,Catfish
24.73,7.03,5.04,41.21,Brackish,Catfish
25.81,7.58,33.02,19.94,High Salinity,Milkfish
31.47,7.21,19.01,24.96,High Salinity,Milkfish
29.87,7.57,25.58,29.09,High Salinity,Tiger Shrimp
29.07,7.95,19.44,20.23,High Salinity,Whiteleg Shrimp
30.08,7.96,22.57,27.78,High Salinity,Milkfish
27.91,8.0,25.75,28.02,High Salinity,Tiger Shrimp
28.63,7.99,7.3,16.44,Brackish,Catfish
28.83,7.87,32.0,39.21,High Salinity,Milkfish
28.22,7.94,7.01,11.26,Brackish,Catfish
30.73,7.52,18.65,33.91,High Salinity,Whiteleg Shrimp
29.1,7.51,34.68,39.72,High Salinity,Milkfish
27.52,7.84,23.37,33.6,High Salinity,Tiger Shrimp
29.9,7.5,30.07,54.2,High Salinity,Tiger Shrimp
23.75,8.42,3.79,17.08,Freshwater,Tilapia
27.95,8.18,6.79,26.6,Brackish,Catfish
25.42,6.87,3.75,20.49,Freshwater,Tilapia
30.37,7.2,5.31,21.18,Brackish,Catfish
29.23,7.89,21.91,45.91,High Salinity,Tiger Shrimp
29.04,7.99,6.63,21.93,Brackish,Tilapia
29.56,7.58,5.22,28.09,Brackish,Tilapia
29.24,8.47,15.97,31.45,High Salinity,Tiger Shrimp
32.15,7.96,7.98,32.22,Brackish,Catfish
29.95,8.24,20.43,56.66,High Salinity,Tiger Shrimp
28.59,6.85,13.64,23.43,Brackish,Milkfish
30.75,7.59,19.13,49.76,High Salinity,Whiteleg Shrimp
30.59,8.27,24.21,30.85,High Salinity,Whiteleg Shrimp
29.16,8.08,3.91,11.5,Freshwater,Tilapia
27.43,7.98,23.88,35.03,High Salinity,Tiger Shrimp
26.04,7.06,2.73,35.8,Freshwater,Catfish
27.94,8.06,23.2,45.01,High Salinity,Tiger Shrimp
28.19,8.35,21.09,24.73,High Salinity,Milkfish
26.86,7.5,31.68,25.34,High Salinity,Milkfish
30.39,8.62,33.89,28.11,High Salinity,Milkfish
28.56,7.09,0.39,24.31,Freshwater,Catfish
29.41,8.27,24.62,26.93,High Salinity,Whiteleg Shrimp
24.94,7.57,5.8,22.16,Brackish,Tilapia
29.13,7.38,0.0,23.87,Freshwater,Catfish
29.05,7.36,17.64,26.61,High Salinity,Whiteleg Shrimp
29.02,7.16,0.0,17.98,Freshwater,Tilapia
29.48,7.57,16.28,35.45,High Salinity,Tiger Shrimp
29.67,7.78,19.96,41.66,High Salinity,Tiger Shrimp
29.0,6.71,4.0,9.07,Freshwater,Tilapia
29.43,7.63,19.95,39.74,High Salinity,Whiteleg Shrimp
27.58,7.83,15.61,57.8,High Salinity,Tiger Shrimp
28.81,7.43,3.8,23.57,Freshwater,Tilapia
31.91,7.55,16.1,42.68,High Salinity,Whiteleg Shrimp
24.54,7.02,4.38,12.11,Freshwater,Tilapia
30.08,8.04,18.53,46.89,High Salinity,Whiteleg Shrimp
30.28,7.79,2.63,11.73,Freshwater,Tilapia
24.16,7.27,1.96,9.38,Freshwater,Tilapia
29.14,7.5,21.84,37.74,High Salinity,Whiteleg Shrimp
28.85,6.7,5.54,30.51,Brackish,Tilapia
29.26,8.03,16.49,22.05,High Salinity,Milkfish
28.07,7.78,21.48,47.72,High Salinity,Tiger Shrimp
30.43,7.53,18.73,40.89,High Salinity,Milkfish
26.01,7.49,3.38,21.08,Freshwater,Catfish
30.22,6.61,8.0,22.71,Brackish,Catfish
27.22,7.81,23.8,49.88,High Salinity,Tiger Shrimp
27.61,7.99,25.01,45.64,High Salinity,Tiger Shrimp
30.87,7.73,2.52,24.3,Freshwater,Catfish
30.38,6.69,2.26,29.26,Freshwater,Tilapia
30.44,7.8,2.76,16.41,Freshwater,Catfish
31.22,8.22,21.69,28.56,High Salinity,Whiteleg Shrimp
30.44,7.93,25.04,31.77,High Salinity,Tiger Shrimp
27.22,8.18,22.88,25.58,High Salinity,Milkfish
30.24,7.81,22.61,25.47,High Salinity,Whiteleg Shrimp
25.68,6.79,3.87,34.0,Freshwater,Catfish
27.4,8.18,1.75,14.73,Freshwater,Catfish
29.23,8.08,29.65,37.3,High Salinity,Tiger Shrimp
27.78,7.37,11.49,37.82,Brackish,Milkfish
23.88,8.02,0.0,15.51,Freshwater,Tilapia
30.41,6.79,5.55,20.71,Brackish,Catfish
24.41,7.28,3.49,17.77,Freshwater,Tilapia
24.24,8.0,1.2,20.14,Freshwater,Tilapia
24.76,8.04,1.78,24.17,Freshwater,Tilapia
30.62,7.17,0.0,28.82,Freshwater,Catfish
30.12,7.56,32.03,38.41,High Salinity,Milkfish
28.92,7.56,1.06,36.69,Freshwater,Catfish
28.06,8.36,16.92,56.27,High Salinity,Tiger Shrimp
29.29,7.77,14.92,38.9,Brackish,Tiger Shrimp
25.51,8.29,2.65,10.35,Freshwater,Tilapia
25.36,6.87,3.32,12.62,Freshwater,Tilapia
30.68,8.45,21.01,34.04,High Salinity,Whiteleg Shrimp
29.68,8.01,0.56,26.01,Freshwater,Tilapia
26.05,8.19,1.6,28.97,Freshwater,Tilapia
27.89,7.03,12.53,23.79,Brackish,Milkfish
29.17,6.76,6.47,35.46,Brackish,Catfish
32.8,7.6,7.96,37.48,Brackish,Catfish
29.17,8.44,12.08,49.29,Brackish,Milkfish
24.86,8.29,2.41,14.12,Freshwater,Tilapia
25.68,6.75,6.07,22.03,Brackish,Catfish
30.62,7.46,3.79,17.87,Freshwater,Catfish
29.5,6.6,6.54,22.15,Brackish,Catfish
29.38,7.21,17.64,43.87,High Salinity,Milkfish
30.41,7.36,29.6,28.1,High Salinity,Tiger Shrimp
30.53,8.07,29.0,40.01,High Salinity,Tiger Shrimp
24.57,7.74,1.6,11.55,Freshwater,Tilapia
29.33,7.48,17.17,39.49,High Salinity,Tiger Shrimp
26.71,7.59,11.24,24.72,Brackish,Milkfish
31.99,8.23,24.24,37.33,High Salinity,Milkfish
29.42,8.14,22.33,32.02,High Salinity,Tiger Shrimp
29.8,7.41,1.03,20.45,Freshwater,Catfish
29.54,6.63,5.78,32.43,Brackish,Tilapia
29.15,8.74,17.06,42.66,High Salinity,Whiteleg Shrimp
25.64,6.89,2.36,38.98,Freshwater,Catfish
27.49,7.73,0.75,20.09,Freshwater,Catfish
29.02,7.63,22.75,32.96,High Salinity,Whiteleg Shrimp
27.29,7.2,4.39,13.16,Freshwater,Catfish
28.15,7.62,17.05,29.71,High Salinity,Whiteleg Shrimp
28.82,7.95,20.49,21.06,High Salinity,Whiteleg Shrimp
28.74,8.45,15.78,43.69,High Salinity,Whiteleg Shrimp
29.14,8.03,24.39,29.79,High Salinity,Milkfish
29.62,6.32,0.0,23.38,Freshwater,Catfish
28.67,8.63,18.73,30.23,High Salinity,Whiteleg Shrimp
27.8,7.68,22.11,42.27,High Salinity,Tiger Shrimp
26.54,6.55,1.81,20.24,Freshwater,Tilapia
30.8,6.75,4.7,18.43,Freshwater,Tilapia
30.83,7.4,0.79,11.73,Freshwater,Catfish
27.96,7.52,8.1,39.63,Brackish,Catfish
27.82,7.42,20.72,32.38,High Salinity,Tiger Shrimp
32.06,7.99,22.51,28.93,High Salinity,Whiteleg Shrimp
29.77,6.96,4.92,33.04,Freshwater,Catfish
28.78,7.33,2.23,18.56,Freshwater,Tilapia
25.23,7.81,24.98,18.85,High Salinity,Milkfish
28.2,7.11,0.76,21.3,Freshwater,Tilapia
31.31,8.52,13.24,31.83,Brackish,Milkfish
27.91,8.39,27.22,52.99,High Salinity,Tiger Shrimp
27.67,6.84,5.4,10.92,Brackish,Tilapia
28.96,8.03,33.9,47.05,High Salinity,Milkfish
30.58,7.98,23.55,27.28,High Salinity,Whiteleg Shrimp
29.11,7.21,34.78,19.04,High Salinity,Milkfish
29.16,8.44,20.79,39.69,High Salinity,Tiger Shrimp
31.83,8.02,20.84,38.36,High Salinity,Milkfish
26.77,7.69,27.19,24.05,High Salinity,Tiger Shrimp
29.38,8.1,15.28,36.42,High Salinity,Milkfish
25.68,6.33,3.01,23.29,Freshwater,Tilapia
28.66,6.67,0.0,23.95,Freshwater,Tilapia
26.91,8.04,2.01,24.83,Freshwater,Tilapia
31.07,7.01,3.6,33.11,Freshwater,Catfish
29.61,8.33,21.79,39.99,High Salinity,Whiteleg Shrimp
27.75,7.38,24.2,46.29,High Salinity,Milkfish
32.22,7.44,6.66,17.89,Brackish,Catfish
29.76,6.93,25.03,23.91,High Salinity,Milkfish
27.67,6.88,4.23,32.0,Freshwater,Catfish
28.81,8.5,23.11,36.67,High Salinity,Tiger Shrimp
30.85,8.21,17.25,51.56,High Salinity,Whiteleg Shrimp
29.47,7.95,19.6,39.4,High Salinity,Whiteleg Shrimp
27.46,7.07,0.0,24.18,Freshwater,Catfish
30.65,8.25,21.82,50.82,High Salinity,Whiteleg Shrimp
30.2,7.23,5.18,26.34,Brackish,Catfish
27.99,6.81,5.55,33.88,Brackish,Tilapia
30.84,6.74,3.65,24.57,Freshwater,Tilapia
28.95,7.73,1.07,22.72,Freshwater,Catfish
29.57,8.25,22.06,35.16,High Salinity,Tiger Shrimp
27.57,7.55,16.4,30.11,High Salinity,Tiger Shrimp
